epoch,accuracy,loss,val_accuracy,val_loss
0,0.6803921461105347,1.6856677532196045,0.8037037253379822,0.691737949848175
1,0.9405228495597839,0.19446207582950592,0.8985185027122498,0.322494238615036
2,0.97124183177948,0.08539179712533951,0.8614814877510071,0.8050873279571533
3,0.9581699371337891,0.14598195254802704,0.9229629635810852,0.27493926882743835
4,0.9755991101264954,0.09137926250696182,0.9444444179534912,0.28905829787254333
5,0.9753812551498413,0.10081177204847336,0.9274073839187622,0.307573527097702
6,0.9812636375427246,0.06080047786235809,0.9125925898551941,0.6770787239074707
7,0.9742919206619263,0.11845192313194275,0.9303703904151917,0.49525710940361023
8,0.9825708270072937,0.07112007588148117,0.9474074244499207,0.26443779468536377
9,0.9755991101264954,0.1069195419549942,0.9348148107528687,0.3713964819908142
10,0.9860566258430481,0.061576686799526215,0.9281481504440308,0.33749669790267944
11,0.9882352948188782,0.04545003920793533,0.9399999976158142,0.4354226887226105
12,0.9838780164718628,0.07667767256498337,0.9377777576446533,0.49986758828163147
13,0.9830065369606018,0.07932420074939728,0.9348148107528687,0.43808621168136597
14,0.9882352948188782,0.0519527792930603,0.9577777981758118,0.31733644008636475
15,0.985838770866394,0.07222133129835129,0.948888897895813,0.5280753374099731
16,0.9921568632125854,0.045455485582351685,0.9481481313705444,0.38465961813926697
17,0.9906318187713623,0.04767216742038727,0.9688888788223267,0.20044490694999695
18,0.985838770866394,0.06728217005729675,0.9666666388511658,0.26824313402175903
19,0.985838770866394,0.08205407857894897,0.936296284198761,0.7981933355331421
20,0.9923747181892395,0.05526341497898102,0.9562963247299194,0.3072492480278015
21,0.9923747181892395,0.03731701150536537,0.9599999785423279,0.39080268144607544
22,0.9932461977005005,0.05028466135263443,0.9629629850387573,0.268550843000412
23,0.9934640526771545,0.031303226947784424,0.9244444370269775,1.0041663646697998
24,0.9814814925193787,0.11089061200618744,0.9414814710617065,0.40728357434272766
25,0.9871459603309631,0.07294642925262451,0.9496296048164368,0.4973122775554657
26,0.9925925731658936,0.03922358155250549,0.9496296048164368,0.4958776831626892
27,0.9930283427238464,0.0312710665166378,0.9607407450675964,0.2684795558452606
